####################################################################
# This file contains stable mappings from MIME types to protobuf   #
# tag numbers and should be edited carefully to maintain backward  #
# compatibility.                                                   #
####################################################################
#
# Categories and wildcards are encoded as their own values.
#
application/vnd.3M.Post-it-Notes,562
application/vnd.accpac.simply.aso,563
application/vnd.accpac.simply.imp,564
application/vnd.acucobol,565
application/vnd.acucorp,566
application/vnd.adobe.flash.movie,567
application/vnd.adobe.formscentral.fcdt,568
application/vnd.adobe.fxp,569
application/vnd.adobe.partial-upload,570
application/vnd.adobe.xdp+xml,571
application/vnd.adobe.xfdf,572
application/vnd.aether.imp,573
application/vnd.afpc.afplinedata,574
application/vnd.afpc.afplinedata-pagedef,575
application/vnd.afpc.foca-charset,576
application/vnd.afpc.foca-codedfont,577
application/vnd.afpc.foca-codepage,578
application/vnd.afpc.modca,579
application/vnd.afpc.modca-formdef,580
application/vnd.afpc.modca-mediummap,581
application/vnd.afpc.modca-objectcontainer,582
application/vnd.afpc.modca-overlay,583
application/vnd.afpc.modca-pagesegment,584
application/vnd.ah-barcode,585
application/vnd.ahead.space,586
application/vnd.airzip.filesecure.azf,587
application/vnd.airzip.filesecure.azs,588
application/vnd.amadeus+json,589
application/vnd.amazon.mobi8-ebook,590
application/vnd.americandynamics.acc,591
application/vnd.amiga.ami,592
application/vnd.amundsen.maze+xml,593
application/vnd.android.ota,594
application/vnd.anki,595
application/vnd.anser-web-certificate-issue-initiation,596
application/vnd.antix.game-component,597
application/vnd.apache.thrift.binary,598
application/vnd.apache.thrift.compact,599
application/vnd.apache.thrift.json,600
application/vnd.api+json,601
application/vnd.apothekende.reservation+json,602
application/vnd.apple.installer+xml,603
application/vnd.apple.keynote,604
application/vnd.apple.mpegurl,605
application/vnd.apple.numbers,606
application/vnd.apple.pages,607
application/vnd.arastra.swi,608
application/vnd.aristanetworks.swi,609
application/vnd.artisan+json,610
application/vnd.artsquare,611
application/vnd.astraea-software.iota,612
application/vnd.audiograph,613
application/vnd.autopackage,614
application/vnd.avalon+json,615
application/vnd.avistar+xml,616
application/vnd.balsamiq.bmml+xml,617
application/vnd.banana-accounting,618
application/vnd.bbf.usp.error,619
application/vnd.bbf.usp.msg,620
application/vnd.bbf.usp.msg+json,621
application/vnd.balsamiq.bmpr,622
application/vnd.bekitzur-stech+json,623
application/vnd.bint.med-content,624
application/vnd.biopax.rdf+xml,625
application/vnd.blink-idb-value-wrapper,626
application/vnd.blueice.multipass,627
application/vnd.bluetooth.ep.oob,628
application/vnd.bluetooth.le.oob,629
application/vnd.bmi,630
application/vnd.bpf,631
application/vnd.bpf3,632
application/vnd.businessobjects,633
application/vnd.byu.uapi+json,634
application/vnd.cab-jscript,635
application/vnd.canon-cpdl,636
application/vnd.canon-lips,637
application/vnd.capasystems-pg+json,638
application/vnd.cendio.thinlinc.clientconf,639
application/vnd.century-systems.tcp_stream,640
application/vnd.chemdraw+xml,641
application/vnd.chess-pgn,642
application/vnd.chipnuts.karaoke-mmd,643
application/vnd.ciedi,644
application/vnd.cinderella,645
application/vnd.cirpack.isdn-ext,646
application/vnd.citationstyles.style+xml,647
application/vnd.claymore,648
application/vnd.cloanto.rp9,649
application/vnd.clonk.c4group,650
application/vnd.cluetrust.cartomobile-config,651
application/vnd.cluetrust.cartomobile-config-pkg,652
application/vnd.coffeescript,653
application/vnd.collabio.xodocuments.document,654
application/vnd.collabio.xodocuments.document-template,655
application/vnd.collabio.xodocuments.presentation,656
application/vnd.collabio.xodocuments.presentation-template,657
application/vnd.collabio.xodocuments.spreadsheet,658
application/vnd.collabio.xodocuments.spreadsheet-template,659
application/vnd.collection.doc+json,660
application/vnd.collection+json,661
application/vnd.collection.next+json,662
application/vnd.comicbook-rar,663
application/vnd.comicbook+zip,664
application/vnd.commerce-battelle,665
application/vnd.commonspace,666
application/vnd.coreos.ignition+json,667
application/vnd.cosmocaller,668
application/vnd.contact.cmsg,669
application/vnd.crick.clicker,670
application/vnd.crick.clicker.keyboard,671
application/vnd.crick.clicker.palette,672
application/vnd.crick.clicker.template,673
application/vnd.crick.clicker.wordbank,674
application/vnd.criticaltools.wbs+xml,675
application/vnd.cryptii.pipe+json,676
application/vnd.crypto-shade-file,677
application/vnd.ctc-posml,678
application/vnd.ctct.ws+xml,679
application/vnd.cups-pdf,680
application/vnd.cups-postscript,681
application/vnd.cups-ppd,682
application/vnd.cups-raster,683
application/vnd.cups-raw,684
application/vnd.curl,685
application/vnd.cyan.dean.root+xml,686
application/vnd.cybank,687
application/vnd.d2l.coursepackage1p0+zip,688
application/vnd.dart,689
application/vnd.data-vision.rdz,690
application/vnd.datapackage+json,691
application/vnd.dataresource+json,692
application/vnd.debian.binary-package,693
application/vnd.dece.data,694
application/vnd.dece.ttml+xml,695
application/vnd.dece.unspecified,696
application/vnd.dece.zip,697
application/vnd.denovo.fcselayout-link,698
application/vnd.desmume.movie,699
application/vnd.dir-bi.plate-dl-nosuffix,700
application/vnd.dm.delegation+xml,701
application/vnd.dna,702
application/vnd.document+json,703
application/vnd.dolby.mobile.1,704
application/vnd.dolby.mobile.2,705
application/vnd.doremir.scorecloud-binary-document,706
application/vnd.dpgraph,707
application/vnd.dreamfactory,708
application/vnd.drive+json,709
application/vnd.dtg.local,710
application/vnd.dtg.local.flash,711
application/vnd.dtg.local.html,712
application/vnd.dvb.ait,713
application/vnd.dvb.dvbj,714
application/vnd.dvb.esgcontainer,715
application/vnd.dvb.ipdcdftnotifaccess,716
application/vnd.dvb.ipdcesgaccess,717
application/vnd.dvb.ipdcesgaccess2,718
application/vnd.dvb.ipdcesgpdd,719
application/vnd.dvb.ipdcroaming,720
application/vnd.dvb.iptv.alfec-base,721
application/vnd.dvb.iptv.alfec-enhancement,722
application/vnd.dvb.notif-aggregate-root+xml,723
application/vnd.dvb.notif-container+xml,724
application/vnd.dvb.notif-generic+xml,725
application/vnd.dvb.notif-ia-msglist+xml,726
application/vnd.dvb.notif-ia-registration-request+xml,727
application/vnd.dvb.notif-ia-registration-response+xml,728
application/vnd.dvb.notif-init+xml,729
application/vnd.dvb.pfr,730
application/vnd.dvb.service,731
application/vnd.dxr,732
application/vnd.dynageo,733
application/vnd.dzr,734
application/vnd.easykaraoke.cdgdownload,735
application/vnd.ecip.rlp,736
application/vnd.ecdis-update,737
application/vnd.ecowin.chart,738
application/vnd.ecowin.filerequest,739
application/vnd.ecowin.fileupdate,740
application/vnd.ecowin.series,741
application/vnd.ecowin.seriesrequest,742
application/vnd.ecowin.seriesupdate,743
application/vnd.efi.img,744
application/vnd.efi.iso,745
application/vnd.emclient.accessrequest+xml,746
application/vnd.enliven,747
application/vnd.enphase.envoy,748
application/vnd.eprints.data+xml,749
application/vnd.epson.esf,750
application/vnd.epson.msf,751
application/vnd.epson.quickanime,752
application/vnd.epson.salt,753
application/vnd.epson.ssf,754
application/vnd.ericsson.quickcall,755
application/vnd.espass-espass+zip,756
application/vnd.eszigno3+xml,757
application/vnd.etsi.aoc+xml,758
application/vnd.etsi.asic-s+zip,759
application/vnd.etsi.asic-e+zip,760
application/vnd.etsi.cug+xml,761
application/vnd.etsi.iptvcommand+xml,762
application/vnd.etsi.iptvdiscovery+xml,763
application/vnd.etsi.iptvprofile+xml,764
application/vnd.etsi.iptvsad-bc+xml,765
application/vnd.etsi.iptvsad-cod+xml,766
application/vnd.etsi.iptvsad-npvr+xml,767
application/vnd.etsi.iptvservice+xml,768
application/vnd.etsi.iptvsync+xml,769
application/vnd.etsi.iptvueprofile+xml,770
application/vnd.etsi.mcid+xml,771
application/vnd.etsi.mheg5,772
application/vnd.etsi.overload-control-policy-dataset+xml,773
application/vnd.etsi.pstn+xml,774
application/vnd.etsi.sci+xml,775
application/vnd.etsi.simservs+xml,776
application/vnd.etsi.timestamp-token,777
application/vnd.etsi.tsl+xml,778
application/vnd.etsi.tsl.der,779
application/vnd.evolv.ecig.profile,780
application/vnd.evolv.ecig.settings,781
application/vnd.evolv.ecig.theme,782
application/vnd.eudora.data,783
application/vnd.exstream-empower+zip,784
application/vnd.exstream-package,785
application/vnd.ezpix-album,786
